institute,record_id,gender,country_origin,citizenship,months_postdoc,job_sector,job_type,specifics,job_country,job_state,degree,degree_field,degree_cip,years
NIEHS,290,Female,Germany,International,79,For-profit company,Management,Science writing or communications,United States,New York,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,187,Female,Brazil,International,67.9,For-profit company,Management,Science writing or communications,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,257,Female,Poland,International,54.9,For-profit company,Management,Science administration/project management,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,7,Female,Kenya,International,48.3,For-profit company,Management,Primarily applied research,United States,Pennsylvania,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,439,Male,France,International,68.7,For-profit company,Management,Primarily applied research,Belgium,Brussels,PhD,Unknown,Unknown,2000-2004
NIEHS,91,Male,Canada,International,49.9,For-profit company,Management,Regulatory affairs,Canada,Toronto,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,430,Male,China,International,8,For-profit company,Management,Primarily applied research,China,Shanghai,PhD,Neurobiology,Neurobiology/Neuroscience,2000-2004
NIEHS,875,Male,China,International,32.9,For-profit company,Management,Primarily applied research,China,Shanghai,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,885,Male,China,International,24,For-profit company,Management,Primarily applied research,China,Shanghai,MD;PhD,Toxicology and Occupational Health,Pharmacology/Toxicology,2000-2004
NIEHS,204,Male,Czech Republic,International,60.1,For-profit company,Management,Technical/customer support,Czech Republic,Prague,PhD,Unknown,Unknown,2005-2009
NIEHS,369,Male,Tatarstan,International,30.9,For-profit company,Management,Primarily applied research,Finland,Helsinki,PhD,Biophysics and Neuroscience,Biophysics/Structural Biology,2000-2004
NIEHS,289,Male,Germany,International,39.7,For-profit company,Management,Business development or Operations,Germany,Germany,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,514,Male,Germany,International,7.2,For-profit company,Management,Primarily applied research,Germany,Munich,PhD,Unknown,Unknown,2000-2004
NIEHS,577,Male,Germany,International,29.2,For-profit company,Management,Science administration/project management,Germany,Stuttgart,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,653,Male,Germany,International,36,For-profit company,Management,Sales/marketing,Germany,Stuttgart,PhD,Biological Sciences,General Biology/Biomedical Science,2010-2014
NIEHS,850,Male,India,International,21.7,For-profit company,Management,Primarily applied research,India,Hyderabad,PhD,Bioinformatics,Computational Biology/Biostatistics/Bioinformatics,2010-2014
NIEHS,561,Male,India,International,58,For-profit company,Management,Primarily applied research,India,Mumbai,PhD,Cellular And Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,329,Male,Japan,International,47.6,For-profit company,Management,Primarily applied research,Japan,Kanagawa,PhD,Unknown,Unknown,2005-2009
NIEHS,104,Male,Russia,International,35.9,For-profit company,Management,Business development or Operations,Russia,Moscow,PhD,Chemistry,Chemistry,2005-2009
NIEHS,277,Male,South Korea,International,36,For-profit company,Management,Primarily applied research,South Korea,Seoul,PhD,Pharmaceutics,Pharmacology/Toxicology,2000-2004
NIEHS,985,Male,South Korea,International,25.3,For-profit company,Management,Primarily applied research,South Korea,Suwon-Si,PhD,Structural Biology,Biophysics/Structural Biology,2015-2019
NIEHS,26,Male,United Kingdom,International,39,For-profit company,Management,Primarily applied research,United Kingdom,Cambridge,PhD,Cellular Physiology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,868,Male,China,International,16,For-profit company,Management,Primarily applied research,United States,California,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,59,Male,United Kingdom,International,41.9,For-profit company,Management,Primarily applied research,United States,Illinois,PhD,Unknown,Unknown,2005-2009
NIEHS,731,Male,Canada,International,59.1,For-profit company,Management,Primarily applied research,United States,Massachusetts,PhD,Molecular toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,884,Male,China,International,34.2,For-profit company,Management,Primarily applied research,United States,New Jersey,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,449,Male,China,International,16.6,For-profit company,Management,Primarily applied research,United States,New York,MD;PhD,Unknown,Unknown,2000-2004
NIEHS,881,Male,China,International,50,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Analytical and Biological Chemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,677,Male,India,International,28.7,For-profit company,Management,Primarily applied research,United States,Pennsylvania,DVM,Veterinary Pathology,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,680,Male,India,International,5.5,For-profit company,Management,Primarily applied research,United States,Virginia,PhD,Unknown,Unknown,2000-2004
NIEHS,189,Female,United States,US,57.4,For-profit company,Management,Primarily applied research,Canada,Vancouver,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,285,Female,United States,US,22.7,For-profit company,Management,Other [Finance Administration],China,Beijing,MD;PhD,Pathology,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,643,Female,United States,US,66.8,For-profit company,Management,Primarily applied research,Germany,Leverkusen,PhD,Genetics,Genetics/Genomics,2005-2009
NIEHS,367,Female,United States,US,56,For-profit company,Management,Regulatory affairs,United States,District of Columbia,PhD,Molecular Cancer Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,205,Female,United States,US,20.7,For-profit company,Management,Primarily applied research,United States,Illinois,PhD,Epidemiology,Epidemiology,2010-2014
NIEHS,566,Female,United States,US,5.3,For-profit company,Management,Primarily applied research,United States,Maryland,PhD,Pathology and Laboratory Medicine,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,97,Female,United States,US,24,For-profit company,Management,Primarily applied research,United States,New York,PhD,Unknown,Unknown,2005-2009
NIEHS,692,Female,United States,US,49.3,For-profit company,Management,Primarily applied research,United States,New York,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,214,Female,United States,US,33.4,For-profit company,Management,Business Development or Operations,United States,North Carolina,PhD,Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,298,Female,United States,US,23.8,For-profit company,Management,Science administration/project management,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,304,Female,United States,US,19.3,For-profit company,Management,Regulatory affairs,United States,North Carolina,PhD,Biological Chemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,384,Female,United States,US,47.7,For-profit company,Management,Science writing or communications,United States,North Carolina,PhD,Chemical Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,512,Female,United States,US,36,For-profit company,Management,Regulatory affairs,United States,North Carolina,PhD,Chemistry,Chemistry,2005-2009
NIEHS,610,Female,United States,US,20.3,For-profit company,Management,Primarily applied research,United States,North Carolina,DVM,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,616,Female,United States,US,9,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,650,Female,United States,US,57.9,For-profit company,Management,Science writing or communications,United States,North Carolina,PhD,Neuroscience/Genetics,Neurobiology/Neuroscience,2005-2009
NIEHS,864,Female,United States,US,53.9,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Biological Chemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,930,Female,United States,US,25.9,For-profit company,Management,Science Administration/Project Management,United States,North Carolina,PhD,Physiology & Biophysics,General Biology/Biomedical Science,2015-2019
NIEHS,987,Female,United States,US,47.4,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2015-2019
NIEHS,288,Female,United States,US,100.1,For-profit company,Management,Science writing or communications,United States,Pennsylvania,PhD,Genetics,Genetics/Genomics,2005-2009
NIEHS,145,Female,United States,US,39.7,For-profit company,Management,Regulatory affairs,United States,Virginia,PhD,BioMedical Sciences with a specialization in Pathology,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,284,Male,United States,US,0,For-profit company,Management,Regulatory affairs,Japan,Osaka,,Unknown,Unknown,2000-2004
NIEHS,540,Male,United States,US,20.1,For-profit company,Management,Consulting,United States,Arkansas,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,62,Male,United States,US,53.4,For-profit company,Management,Primarily applied research,United States,California,DVM,Comparative Biomedical Sciences; Pathology,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,46,Male,United States,US,27.9,For-profit company,Management,Primarily applied research,United States,Georgia,PhD,Toxicology & Genomics,Pharmacology/Toxicology,2010-2014
NIEHS,254,Male,United States,US,54,For-profit company,Management,Science writing or communications,United States,Illinois,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,341,Male,United States,US,42.4,For-profit company,Management,Business development or Operations,United States,Illinois,PhD,Biochemistry and Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,567,Male,United States,US,21.6,For-profit company,Management,Primarily applied research,United States,Indiana,PhD,Structural Biology,Biophysics/Structural Biology,2005-2009
NIEHS,744,Male,United States,US,51.4,For-profit company,Management,Primarily applied research,United States,Indiana,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,31,Male,United States,US,9.7,For-profit company,Management,Primarily applied research,United States,Massachusetts,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,274,Male,United States,US,32.7,For-profit company,Management,Computation/informatics,United States,New Jersey,PhD,Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,490,Male,United States,US,53.4,For-profit company,Management,Consulting,United States,New Jersey,PhD,Molecular and Cellular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,815,Male,United States,US,3.4,For-profit company,Management,Primarily clinical research,United States,New York,PhD,Neurobiology,Neurobiology/Neuroscience,2005-2009
NIEHS,8,Male,United States,US,6.1,For-profit company,Management,Regulatory affairs,United States,North Carolina,PhD,Pharmacology/Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,30,Male,United States,US,19.4,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,148,Male,United States,US,30.5,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,151,Male,United States,US,36,For-profit company,Management,Business development or Operations,United States,North Carolina,PhD,Genetics and Molecular Biology,Genetics/Genomics,2010-2014
NIEHS,158,Male,United States,US,60.2,For-profit company,Management,Primarily basic research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,218,Male,United States,US,56,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,297,Male,United States,US,31.5,For-profit company,Management,Intellectual property/licensing and patenting,United States,North Carolina,PhD;JD,Organic Chemistry;Law,Chemistry,2005-2009
NIEHS,368,Male,United States,US,59,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Pharmaceutical Sciences,Pharmacology/Toxicology,2010-2014
NIEHS,471,Male,United States,US,44.2,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Genetics,Genetics/Genomics,2000-2004
NIEHS,497,Male,United States,US,50,For-profit company,Management,Regulatory affairs,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,542,Male,United States,US,25,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Molecular Genetics,Genetics/Genomics,2005-2009
NIEHS,580,Male,United States,US,16.2,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2005-2009
NIEHS,684,Male,United States,US,25.9,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Microbiology/Immunology,Microbiology/Immunology,2005-2009
NIEHS,705,Male,United States,US,70.6,For-profit company,Management,Science writing or communications,United States,North Carolina,PhD,Genetics,Genetics/Genomics,2010-2014
NIEHS,712,Male,United States,US,58.3,For-profit company,Management,Intellectual property/licensing and patenting,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,735,Male,United States,US,59.2,For-profit company,Management,Primarily applied research,United States,North Carolina,PhD,Microbiology,Microbiology/Immunology,2005-2009
NIEHS,940,Male,United States,US,59,For-profit company,Management,Science administration/project management,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,1008,Male,United States,US,18,For-profit company,Management,Business Development or Operations,United States,North Carolina,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,1082,Male,United States,US,37,For-profit company,Management,Primarily basic research,United States,North Carolina,PhD,Chemistry,Chemistry,2015-2019
NIEHS,279,Male,United States,US,19.9,For-profit company,Management,Regulatory affairs,United States,Ohio,PhD,Molecular Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,77,Male,United States,US,12.1,For-profit company,Management,Primarily applied research,United States,Pennsylvania,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,79,Male,United States,US,34.6,For-profit company,Management,Primarily applied research,United States,Pennsylvania,PhD,Molecular Carcinogenesis/Tumor Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,308,Male,United States,US,46.6,For-profit company,Management,Primarily clinical research,United States,Pennsylvania,PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,857,Male,United States,US,30.1,For-profit company,Management,Primarily applied research,United States,Pennsylvania,PhD,Biophysics,Biophysics/Structural Biology,2000-2004
NIEHS,543,Male,United States,US,19.4,For-profit company,Management,Primarily applied research,United States,Wisconsin,PhD,Molecular Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,175,Male,China,International,35,Government agency,Management,Science administration/project management,China,Changzhou,MD,Unknown,Unknown,2005-2009
NIEHS,280,Male,Morocco,International,38.6,Government agency,Management,Business Development or Operations,Saudi Arabia,Riyadh,PhD,Molecular and Cellular Genetics,Genetics/Genomics,2000-2004
NIEHS,553,Female,United States,US,89.3,Government agency,Management,Regulatory affairs,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,704,Female,United States,US,59.3,Government agency,Management,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,976,Female,United States,US,51.5,Government agency,Management,Grants management,United States,North Carolina,PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,164,Male,United States,US,48.7,Government agency,Management,Regulatory affairs,United States,Maryland,PhD,Unknown,Unknown,2005-2009
NIEHS,237,Male,United States,US,47.1,Government agency,Management,Technical/customer support,United States,North Carolina,PhD,Molecular Physiology and Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,396,Male,United States,US,46,Government agency,Management,Science administration/project management,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,771,Male,United States,US,73.6,Government agency,Management,Primarily basic research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,811,Male,United States,US,34,Government agency,Management,Technical/customer support,United States,North Carolina,PhD,Biochemistry and Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,324,Female,United Kingdom,International,4.9,Independent/self-employed,Management,Science writing or communications,United Kingdom,Unknown,PhD,Unknown,Unknown,2005-2009
NIEHS,494,Male,India,International,24,Non-profit organization,Management,Science administration/project management,India,Aurangabad,PhD,Biotechnology,Other [Biotechnology],2000-2004
NIEHS,390,Female,United States,US,83.7,Non-profit organization,Management,Science administration/project management,United States,California,PhD,Molecular and Cellular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,278,Female,United States,US,30.9,Non-profit organization,Management,Primarily applied research,United States,North Carolina,PhD,Genetics,Genetics/Genomics,2010-2014
NIEHS,498,Female,United States,US,37.7,Non-profit organization,Management,Primarily applied research,United States,North Carolina,PhD,Chemistry,Chemistry,2010-2014
NIEHS,225,Male,United States,US,23.7,Non-profit organization,Management,Grants management,United States,Washington,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,614,Female,Mexico,International,84.2,Academic institution,Non-tenure track faculty,Primarily applied research,United States,Arizona,PhD,Immunology,Microbiology/Immunology,2005-2009
NIEHS,603,Female,India,International,54.6,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Connecticut,PhD,Dairy Microbiology,Microbiology/Immunology,2010-2014
NIEHS,789,Female,China,International,50.3,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Indiana,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,984,Female,South Korea,International,24.5,Academic institution,Non-tenure track faculty,Primarily applied research,United States,Pennsylvania,PhD,Biostatistics,Computational Biology/Biostatistics/Bioinformatics,2015-2019
NIEHS,178,Female,Russia,International,16.9,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Tennessee,PhD,Unknown,Unknown,2000-2004
NIEHS,457,Female,Italy,International,28.1,Academic institution,Non-tenure track faculty,Primarily teaching,United States,Texas,PhD,Biophysics,Biophysics/Structural Biology,2000-2004
NIEHS,578,Male,Russia,International,41.9,Academic institution,Non-tenure track faculty,Primarily basic research,Canada,Victoria,MD;PhD,Bioorganic chemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,427,Male,France,International,24,Academic institution,Non-tenure track faculty,Primarily basic research,France,Villeneuve-d'Ascq,PhD,Unknown,Unknown,2005-2009
NIEHS,357,Male,Japan,International,44.6,Academic institution,Non-tenure track faculty,Primarily basic research,Japan,Matsue,PhD,Unknown,Unknown,2010-2014
NIEHS,637,Male,Japan,International,26.3,Academic institution,Non-tenure track faculty,Primarily basic research,Japan,Osaka,PhD,Medicine,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,391,Male,Japan,International,94.7,Academic institution,Non-tenure track faculty,Primarily basic research,Japan,Sendai,PhD,Unknown,Unknown,2010-2014
NIEHS,917,Male,Taiwan,International,46.7,Academic institution,Non-tenure track faculty,Primarily clinical research,Taiwan,Tainan,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,448,Male,China,International,15.8,Academic institution,Non-tenure track faculty,Additional postdoctoral training,United States,California,PhD,Molecular Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,1011,Male,India,International,43.8,Academic institution,Non-tenure track faculty,Primarily teaching,United States,Colorado,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,476,Male,Spain,International,44.7,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Minnesota,PhD,Biology,General Biology/Biomedical Science,2010-2014
NIEHS,21,Male,Japan,International,89.9,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,42,Male,United Kingdom,International,23.7,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Biology,General Biology/Biomedical Science,2000-2004
NIEHS,136,Male,Argentina,International,69.4,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,153,Male,China,International,33.9,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,MD,Unknown,Unknown,2005-2009
NIEHS,185,Male,India,International,60,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Life Sciences,General Biology/Biomedical Science,2010-2014
NIEHS,252,Male,Japan,International,48,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Pharmaceutical Science,Pharmacology/Toxicology,2000-2004
NIEHS,504,Male,Japan,International,36.3,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,876,Male,China,International,94.5,Academic institution,Non-tenure track faculty,Primarily clinical research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,957,Male,India,International,12.2,Academic institution,Non-tenure track faculty,Primarily teaching,United States,Pennsylvania,PhD,Statistics,Computational Biology/Biostatistics/Bioinformatics,2015-2019
NIEHS,519,Female,United States,US,23.9,Academic institution,Non-tenure track faculty,Primarily applied research,United States,California,PhD,Epidemiology,Epidemiology,2010-2014
NIEHS,209,Female,United States,US,52.5,Academic institution,Non-tenure track faculty,Primarily clinical research,United States,New Mexico,PhD,Molecular and Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,229,Female,United States,US,61.5,Academic institution,Non-tenure track faculty,Primarily basic research,United States,New York,PhD,Molecular Cell Development,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,84,Female,United States,US,33.9,Academic institution,Non-tenure track faculty,Primarily teaching,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,261,Female,United States,US,41,Academic institution,Non-tenure track faculty,Primarily teaching,United States,North Carolina,PhD,Immunology/Pathology,Microbiology/Immunology,2010-2014
NIEHS,347,Female,United States,US,59.4,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,biomedical engineering,Biomedical/Medical Engineering,2005-2009
NIEHS,454,Female,United States,US,10,Academic institution,Non-tenure track faculty,Primarily applied research,United States,North Carolina,MD;PhD,Epidemiology,Epidemiology,2005-2009
NIEHS,492,Female,United States,US,51.4,Academic institution,Non-tenure track faculty,Science administration/project management,United States,North Carolina,PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,550,Female,United States,US,27.6,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,584,Female,United States,US,24,Academic institution,Non-tenure track faculty,Primarily teaching,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,697,Female,United States,US,79.9,Academic institution,Non-tenure track faculty,Primarily basic research,United States,North Carolina,PhD,Molecular Microbiology,Microbiology/Immunology,2000-2004
NIEHS,916,Female,United States,US,101.8,Academic institution,Non-tenure track faculty,Technical/Customer Support,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,978,Female,United States,US,58.2,Academic institution,Non-tenure track faculty,Primarily teaching,United States,Pennsylvania,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,891,Female,United States,US,64.5,Academic institution,Non-tenure track faculty,Primarily applied research,United States,Tennessee,Mphyr;PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,120,Female,United States,US,62.1,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Texas,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,2,Female,United States,US,26.5,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Washington,PhD,Molecular Bioscience,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,897,Female,United States,US,7,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Washington,PhD,Biological Sciences,General Biology/Biomedical Science,2015-2019
NIEHS,651,Female,United States,US,60,Academic institution,Non-tenure track faculty,Technical/customer support,United States,Wisconsin,PhD,Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,586,Male,United States,US,31.9,Academic institution,Non-tenure track faculty,Primarily teaching,United States,California,PhD,Chemistry,Chemistry,2000-2004
NIEHS,620,Male,United States,US,22.4,Academic institution,Non-tenure track faculty,Primarily teaching,United States,California,PhD,Cell and Developmental Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,73,Male,United States,US,11.1,Academic institution,Non-tenure track faculty,Primarily clinical research,United States,Illinois,PhD,Environmental Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,663,Male,United States,US,36,Academic institution,Non-tenure track faculty,Primarily clinical research,United States,Maryland,PhD,Life Science (Electrophysiology in particular),General Biology/Biomedical Science,2000-2004
NIEHS,325,Male,United States,US,62.6,Academic institution,Non-tenure track faculty,Primarily basic research,United States,Massachusetts,PhD,Pharmacology and Neuroscience,Pharmacology/Toxicology,2010-2014
NIEHS,623,Male,United States,US,39,Academic institution,Non-tenure track faculty,Primarily teaching,United States,Missouri,PhD,Chemistry,Chemistry,2000-2004
NIEHS,273,Male,United States,US,46.2,Academic institution,Non-tenure track faculty,Primarily teaching,United States,North Carolina,PhD,Genetics,Genetics/Genomics,2005-2009
